Product_Name,Order_Guide_Line_No,Product_Code,UPC_Code,Category,Unit_Of_Measure,Case_Weight,Case_Size_WxHxD,Unit_Weight,Unit_Size_WxHxD,Pallet_Qty,Country_Of_Origin,Availability,Unit_Price,Image_link
Buds Best Bag Cookies Caco Cremes,,51005BB,745527510051,Cookies,12/6 OZ,6 lbs,"14.57"" x 12.60"" x 6.69""",,,"1,080 units",United States,,,http://p2.glwholesale.com/l/51005BB.jpg
Buds Best Bag Cookies French Vanilla Cremes,,51004BB,745527510044,Cookies,12/6 OZ,6 lbs,"14.96"" x 6.69"" x 12.60""",,,"1,080 units",United States,,,http://p2.glwholesale.com/l/51004BB.jpg
Real Fresh Tapioca Pudding Snacks 4 pack,50,30893R,071079052405,Single Serve Snacks,12/14 OZ,13 lbs,"16.14"" x 11.42"" x 4.33""",,,"1,512 units",United States,,,http://p2.glwholesale.com/l/30893R.jpg
Rea Fresh Chocolate Fudge Pudding Snack Cups 4 pk,46,30890R,071079052504,Single Serve Snacks,12/14 OZ,13 lbs,"16.14"" x 11.42"" x 4.33""",,,"1,512 units",United States,,,http://p2.glwholesale.com/l/30890R.jpg
Real Fresh Vanilla Pudding 4 pk,48,30891R,071079052207,Single Serve Snacks,12/14 OZ,13 lbs,"16.14"" x 11.42"" x 4.33""",,,"1,512 units",United States,,,http://p2.glwholesale.com/l/30891R.jpg
Real Fresh Chocolate Pudding 4 pk,44,30889RX,071079052108,Single Serve Snacks,12/14 OZ,13 lbs,"16.14"" x 11.42"" x 4.33""",,,"1,512 units",United States,,,http://p2.glwholesale.com/l/30889RX.jpg
Real Fresh Chocolate Pudding 4 pk,44,30889R,071079052108,Single Serve Snacks,12/14 OZ,13 lbs,"16.14"" x 11.42"" x 4.33""",,,"1,512 units",United States,,,http://p2.glwholesale.com/l/30889R.jpg
Prime Time Extra Butter Microwave Popcorn 3pk,10,20418PT,027255204182,"Nuts, Popcorn",12/3 PK,11 lbs,"13.39"" x 7.87"" x 9.45""",,,"1,008 units",United States,,,http://p2.glwholesale.com/l/20418PT.jpg
Gourmet Delight Butterfly Pastry Cookies,,44635GD,065756544635,Cookies,12/5.3OZ,,,,,"1,260 units",,,,http://p2.glwholesale.com/l/44635GD.jpg
Prime Time Butter Microwave Popcorn 3pk,6,20416PT,027255204168,"Nuts, Popcorn",12/3 PK,11 lbs,"13.39"" x 7.87"" x 9.45""",,,"1,008 units",United States,,,http://p2.glwholesale.com/l/20416PT.jpg
Jones Sour Cream & Onion Potato Stix,16,1532J,041368015329,Chips & Bagged Snacks,12/4.5 OZ,3 lbs,"16.14"" x 14.17"" x 9.84""",,,864 units,United States,,,http://p2.glwholesale.com/l/1532J.jpg
Prime Time Kettle Corn Microwave Popcorn 3pk,4,20413PT,027255204137,"Nuts, Popcorn",12/3 PK,11 lbs,"12.99"" x 9.84"" x 7.87""",,,"1,008 units",United States,,,http://p2.glwholesale.com/l/20413PT.jpg
Gourmet Delight Puffy Crisp Cookies,,14607GD,065756514607,Cookies,12/5.3OZ,,,,,"1,260 units",,,,http://p2.glwholesale.com/l/14607GD.jpg
Jones Barbecue Potato Stix,14,1531J,041368015312,Chips & Bagged Snacks,12/4.5 OZ,3 lbs,"16.14"" x 14.17"" x 9.84""",,,864 units,United States,,,http://p2.glwholesale.com/l/1531J.jpg
Prime Time Butter Light Microwave Popcorn 3pk,8,20417PT,027255204175,"Nuts, Popcorn",12/3 PK,11 lbs,"12.99"" x 9.84"" x 7.87""",,,"1,008 units",United States,,,http://p2.glwholesale.com/l/20417PT.jpg
BEST BY 7/2017 -Uncle Ray's Salt & Vinegar Potato Chips,38,1262UX,614156001721,Chips & Bagged Snacks,12/3 OZ,2 lbs,"15.35"" x 14.17"" x 10.63""",,,972 units,United States,,,http://p2.glwholesale.com/l/1262UX.jpg
Candy Carnival Caramel Creams - peggable bags,,46942CC,023637469422,Bagged Candy,12/3.15 OZ,,,3.360 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/46942CC.jpg
Jones Original Potato Stix,12,1530J,041368015305,Chips & Bagged Snacks,12/5 OZ,4 lbs,"16.14"" x 14.17"" x 9.84""",,,864 units,United States,,,http://p2.glwholesale.com/l/1530J.jpg
Candy Carnival Smarties Candy - Peggable bags,,46941CC,023637469415,Bagged Candy,12/3.15 OZ,,,3.360 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/46941CC.jpg
World's Best Gummi Bears 6 Flavors,120,533705,634418523709,Bagged Candy,15/5  OZ,6 lbs,"12.20"" x 7.87"" x 4.72""",,,"2,700 units",United States,,,http://p2.glwholesale.com/l/533705.jpg
World's Best Mini Gummi Worms Assorted Flavors,122,533712,634418523716,Bagged Candy,15/5  OZ,6 lbs,"12.20"" x 7.87"" x 4.72""",,,"2,700 units",United States,,,http://p2.glwholesale.com/l/533712.jpg
Candy Carnival Fruit Jelly Beans - peggable bags,,46927CC,023637469279,Bagged Candy,12/4.65 OZ,,,4.650 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/46927CC.jpg
Candy Carnival Butterscotch Discs - Peggable bags,,46923CC,023637469231,Bagged Candy,12/5.25 OZ,,,4.940 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/46923CC.jpg
Carnival Candy Spearmint Leaves,,46917CC,023637469170,Bagged Candy,12/7 OZ,,,6.250 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/46917CC.jpg
Candy Carnival JUJU Fish,,46920CC,023637469200,Bagged Candy,12/5.5 OZ,,,4.120 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/46920CC.jpg
Candy Carnival Clark - Peggable,,46922CC,023637469224,Bagged Candy,12/4.5 OZ,,,4.370 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/46922CC.jpg
Candy Carnival Kids Play Assortment - Peggable bags,,46937CC,023637469378,Bagged Candy,12/3.50 OZ,,,3.620 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/46937CC.jpg
Red Vines Red Licorice Twists,118,4136454349,041364543499,Bagged Candy,24/7 OZ,12 lbs,"15.35"" x 9.45"" x 11.02""",,,"1,248 units",United States,,,http://p2.glwholesale.com/l/4136454349.jpg
Candy Carnival Hostess Mix - peggable bags,,46924CC,023637469248,Bagged Candy,12/4.75 OZ,,,4.560 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/46924CC.jpg
Candy Carnival Circus Peanuts - peggable bags,,46934CC,023637469347,Bagged Candy,12/3.50 OZ,,,3.620 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/46934CC.jpg
Dr Pepper Bites - soft and chewy,92,150760,022224507608,Bagged Candy,12/4 OZ,,,,,"3,600 units",United States,,,http://p2.glwholesale.com/l/150760.jpg
Mustache Candy Pops Counter Display,52,211114B,073563011110,Novelty Candy,24/2.1 OZ,8 lbs,,,,"2,880 units",,,,http://p2.glwholesale.com/l/211114B.jpg
Scribblet Crayon with Candy in CD,56,294506B,073563094502,Novelty Candy,96/12 CT,19 lbs,,,,"4,800 units",,,,http://p2.glwholesale.com/l/294506B.jpg
Carnival Candy Orange Slices- Peggable,,41021CC,023637410219,Bagged Candy,12/7.0 OZ,,,6.250 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/41021CC.jpg
"Sour Juicy Twists 2.5"" Blue Razz",86,150694,022224506946,Bagged Candy,12/4.5 OZ,,,,,"3,600 units",United States,,,http://p2.glwholesale.com/l/150694.jpg
A&W Root Beer Bites,88,150751,022224507516,Bagged Candy,12/4 OZ,,,,,"3,600 units",United States,,,http://p2.glwholesale.com/l/150751.jpg
Hawaiian Punch Bites,90,150752,022224507523,Bagged Candy,12/4 OZ,,,,,"3,600 units",United States,,,http://p2.glwholesale.com/l/150752.jpg
Carnival Candy Cherry Slices - peggable,,46915CC,023637469156,Bagged Candy,12/7 OZ,,,6.250 lbs,,"1,536 units",,,,http://p2.glwholesale.com/l/46915CC.jpg
Kenny's Licorice Green Apple Twist,78,150666,022224506663,Bagged Candy,12/5 OZ,5 lbs,"11.02"" x 9.06"" x 3.94""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/150666.jpg
Kenny's Licorice Watermelon Twist,80,150667,022224506670,Bagged Candy,12/5 OZ,4 lbs,"11.02"" x 9.06"" x 3.54""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/150667.jpg
Kenny's Juice Twists Orange,82,150668,022224506687,Bagged Candy,12/5 OZ,,,,,"3,600 units",United States,,,http://p2.glwholesale.com/l/150668.jpg
"Sour Juicy Twists 2.5"" Sour Apple",84,150691,022224506915,Bagged Candy,12/4.5 OZ,,,,,"3,600 units",United States,,,http://p2.glwholesale.com/l/150691.jpg
9ct My Little Pony Pops with Stickers Peg Bag,60,1128B,073563011288,Bagged Candy,24/9 CT,6 lbs,,,,"3,456 units",,,,http://p2.glwholesale.com/l/1128B.jpg
Wiley Wallaby Red Liquorice,72,120082,022224200820,Bagged Candy,16/4 OZ,,,,,"3,024 units",United States,,,http://p2.glwholesale.com/l/120082.jpg
Claeys Peppermint Hard Candy - Peg Bag,116,696C,076067006958,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/696C.jpg
Wiley Wallaby Black Liquorice,74,120083,022224200837,Bagged Candy,16/4 OZ,,,,,"3,024 units",United States,,,http://p2.glwholesale.com/l/120083.jpg
Claeys Watermelon Hard Candy - Peg Bag,110,681C,076067006804,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/681C.jpg
Claeys Cinnamon Hard Candy -Peg Bag,108,676C,076067006750,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/676C.jpg
Claeys Licorice Hard Candy - Peg Bag,106,671C,076067006705,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/671C.jpg
Claeys Assorted Fruit Hard Candy - Peg Bag,104,661C,076067006606,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/661C.jpg
Kenny's Licorice Strawberry Twist,76,150665,022224506656,Bagged Candy,12/5 OZ,5 lbs,"11.02"" x 9.06"" x 3.94""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/150665.jpg
Claeys Wild Cherry Hard Candy - Peg Bag,102,651C,076067006507,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/651C.jpg
EXP 6/2017 -Crayola Color Your Mouth Flat Pops 16 Ct,,7356300568X,073563005683,Bagged Candy,24/3.1 OZ,7 lbs,"9.06"" x 10.63"" x 11.02""",,,"2,904 units",,,,http://p2.glwholesale.com/l/7356300568X.jpg
Claeys Raspberry Hard Candy - Peg Bag,,616C,076067006156,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/616C.jpg
Claeys Anise Hard Candy - Peg Bag,96,621C,076067006200,Bagged Candy,24/6 OZ,10 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/621C.jpg
Claeys Lemon Hard Candy - Peg Bag,98,631C,076067006309,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/631C.jpg
Mayfair Select Sweets Jelly Beans,,5547333,023637473337,Bagged Candy,12/8 OZ,7 lbs,"11.81"" x 3.94"" x 9.84""",,,"1,536 units",United States,,,http://p2.glwholesale.com/l/5547333.jpg
Claeys Root Beer Hard Candy - Peg Bag,112,686C,076067006859,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/686C.jpg
World's Best Gummi Watermelon Rings,128,533743,634418523747,Bagged Candy,15/5  OZ,6 lbs,"12.20"" x 7.87"" x 4.72""",,,"2,700 units",United States,,,http://p2.glwholesale.com/l/533743.jpg
Albanese Gummi Mini Sour Neon Worms,130,533750,634418523754,Bagged Candy,15/5  OZ,6 lbs,"12.20"" x 7.87"" x 4.72""",,,"2,700 units",United States,,,http://p2.glwholesale.com/l/533750.jpg
World's Best Gummi Peach Rings,126,533736,634418523730,Bagged Candy,15/5  OZ,4 lbs,"7.48"" x 5.12"" x 12.99""",,,"2,700 units",United States,,,http://p2.glwholesale.com/l/533736.jpg
9ct Transformers Pops with Stickers Peg Bag,58,1124B,073563011240,Bagged Candy,24/9 CT,6 lbs,,,,"3,456 units",,,,http://p2.glwholesale.com/l/1124B.jpg
Caribbean Traditional Flavored Ice Pops,,100078,09947710078,Seasonal Snacks,20/5.3OZ,,,,,"1,200 units",,,,http://p2.glwholesale.com/l/100078.jpg
World's Best Gummi Awesome Blossoms,124,533729,634418523723,Bagged Candy,15/5  OZ,6 lbs,"12.20"" x 7.87"" x 4.72""",,,"2,700 units",United States,,,http://p2.glwholesale.com/l/533729.jpg
La Isla Tropical Flavors - Ice pops assorted,,100054,09947710054,Seasonal Snacks,20/5.3OZ,,,,,"1,200 units",,,,http://p2.glwholesale.com/l/100054.jpg
Claeys Horehound Hard Candy - Peg Bag,94,611C,076067006101,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/611C.jpg
Claeys Sassafras Hard Candy - Peg Bag,100,641C,076067006408,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/641C.jpg
Claeys Green Apple Hard Candy - Peg Bag,114,691C,076067006903,Bagged Candy,24/6 OZ,9 lbs,"9.45"" x 5.91"" x 12.99""",,,"3,600 units",United States,,,http://p2.glwholesale.com/l/691C.jpg
Uncle Ray's Hot Potato Chips,26,0794U,614156061688,Chips & Bagged Snacks,20/4.5 OZ,6 lbs,"24.02"" x 16.14"" x 11.02""",,,900 units,United States,,,http://p2.glwholesale.com/l/0794U.jpg
Uncle Ray's No Salt Potato Chips,32,0799U,614156061695,Chips & Bagged Snacks,20/4.5 OZ,6 lbs,"24.02"" x 16.14"" x 11.02""",,,900 units,United States,,,http://p2.glwholesale.com/l/0799U.jpg
Uncle Ray's Potato Chips Jalapeno,34,0803U,614156061770,Chips & Bagged Snacks,20/4.25 OZ,6 lbs,"24.02"" x 16.14"" x 11.02""",,,900 units,United States,,,http://p2.glwholesale.com/l/0803U.jpg
Uncle Ray's Potato Chips Salt & Pepper,36,0805U,614156061725,Chips & Bagged Snacks,20/4.25 OZ,6 lbs,"24.02"" x 16.14"" x 11.02""",,,900 units,United States,,,http://p2.glwholesale.com/l/0805U.jpg
Crayola Color Your Mouth Flat Pops 16 Ct,66,56812,073563005683,Bagged Candy,12/3.1 OZ,3 lbs,"9.06"" x 10.63"" x 11.02""",3.200 lbs,,"3,024 units",,,,http://p2.glwholesale.com/l/56812.jpg
Uncle Ray's Regular Potato Chips,18,0790U,614156060186,Chips & Bagged Snacks,20/4.5 OZ,6 lbs,"24.02"" x 16.14"" x 11.02""",,,900 units,United States,,,http://p2.glwholesale.com/l/0790U.jpg
Uncle Ray's Sour Cream & Onion Potato Chips,24,0793U,614156060216,Chips & Bagged Snacks,20/4.5 OZ,6 lbs,"19.69"" x 14.57"" x 14.57""",,,900 units,United States,,,http://p2.glwholesale.com/l/0793U.jpg
Uncle Ray's Dill Potato Chips,30,0797U,614156061701,Chips & Bagged Snacks,20/4.25 OZ,6 lbs,"16.14"" x 11.42"" x 24.02""",,,900 units,United States,,,http://p2.glwholesale.com/l/0797U.jpg
Uncle Ray's Potato Chips Cheddar Sour Cream,28,0796U,614156061930,Chips & Bagged Snacks,20/4.25 OZ,6 lbs,"24.02"" x 16.14"" x 11.02""",,,900 units,United States,,,http://p2.glwholesale.com/l/0796U.jpg
Uncle Ray's Salt & Vinegar Potato Chips,38,1262U,614156001721,Chips & Bagged Snacks,12/3 OZ,2 lbs,"15.35"" x 14.17"" x 10.63""",,,972 units,United States,,,http://p2.glwholesale.com/l/1262U.jpg
Uncle Ray's Ripple Potato Chips,20,0791U,614156060193,Chips & Bagged Snacks,20/4.5 OZ,6 lbs,"23.62"" x 16.14"" x 11.02""",,,900 units,United States,,,http://p2.glwholesale.com/l/0791U.jpg
Uncle Ray's BBQ Potato Chips,22,0792U,614156060209,Chips & Bagged Snacks,20/4.5 OZ,6 lbs,"24.02"" x 16.14"" x 11.02""",,,900 units,United States,,,http://p2.glwholesale.com/l/0792U.jpg
